latitude;longetude;formattedAddress;cep;streetName;streetNumber;city;state;country
-23.511.254;-46.431.008;Av. Nordestina, 3010 - Cidade Nova Sǜo Miguel, Sǜo Paulo - SP, 08032-000, Brasil;08032-000;Avenida Nordestina;3010;Sǜo Paulo;Sǜo Paulo;Brasil
-235.097.018;-4.641.673.850.000.000;Vila Curuca, Sǜo Paulo - SP, Brasil;not returned by google maps;not returned by google maps;not returned by google maps;Sǜo Paulo;Sǜo Paulo;Brasil
-23.511.254;-46.431.008;Av. Nordestina, 3010 - Cidade Nova Sǜo Miguel, Sǜo Paulo - SP, 08032-000, Brasil;08032-000;Avenida Nordestina;3010;Sǜo Paulo;Sǜo Paulo;Brasil
-235.097.018;-4.641.673.850.000.000;Vila Curuca, Sǜo Paulo - SP, Brasil;not returned by google maps;not returned by google maps;not returned by google maps;Sǜo Paulo;Sǜo Paulo;Brasil
-23.511.254;-46.431.008;Av. Nordestina, 3010 - Cidade Nova Sǜo Miguel, Sǜo Paulo - SP, 08032-000, Brasil;08032-000;Avenida Nordestina;3010;Sǜo Paulo;Sǜo Paulo;Brasil
-234.869.652;-4.672.570.109.999.990;Goldlyne Pirituba - Av. Raimundo Pereira de Magalhǜes, 5028 - Vila Pirituba, Sǜo Paulo - SP, 02938-000, Brasil;02938-000;Avenida Raimundo Pereira de Magalhǜes;5028;Sǜo Paulo;Sǜo Paulo;Brasil
-234.869.652;-4.672.570.109.999.990;Goldlyne Pirituba - Av. Raimundo Pereira de Magalhǜes, 5028 - Vila Pirituba, Sǜo Paulo - SP, 02938-000, Brasil;02938-000;Avenida Raimundo Pereira de Magalhǜes;5028;Sǜo Paulo;Sǜo Paulo;Brasil
-234.869.652;-4.672.570.109.999.990;Goldlyne Pirituba - Av. Raimundo Pereira de Magalhǜes, 5028 - Vila Pirituba, Sǜo Paulo - SP, 02938-000, Brasil;02938-000;Avenida Raimundo Pereira de Magalhǜes;5028;Sǜo Paulo;Sǜo Paulo;Brasil
-234.869.652;-4.672.570.109.999.990;Goldlyne Pirituba - Av. Raimundo Pereira de Magalhǜes, 5028 - Vila Pirituba, Sǜo Paulo - SP, 02938-000, Brasil;02938-000;Avenida Raimundo Pereira de Magalhǜes;5028;Sǜo Paulo;Sǜo Paulo;Brasil
-234.869.652;-4.672.570.109.999.990;Goldlyne Pirituba - Av. Raimundo Pereira de Magalhǜes, 5028 - Vila Pirituba, Sǜo Paulo - SP, 02938-000, Brasil;02938-000;Avenida Raimundo Pereira de Magalhǜes;5028;Sǜo Paulo;Sǜo Paulo;Brasil
-234.869.652;-4.672.570.109.999.990;Goldlyne Pirituba - Av. Raimundo Pereira de Magalhǜes, 5028 - Vila Pirituba, Sǜo Paulo - SP, 02938-000, Brasil;02938-000;Avenida Raimundo Pereira de Magalhǜes;5028;Sǜo Paulo;Sǜo Paulo;Brasil
-23.511.254;-46.431.008;Av. Nordestina, 3010 - Cidade Nova Sǜo Miguel, Sǜo Paulo - SP, 08032-000, Brasil;08032-000;Avenida Nordestina;3010;Sǜo Paulo;Sǜo Paulo;Brasil
-234.869.652;-4.672.570.109.999.990;Goldlyne Pirituba - Av. Raimundo Pereira de Magalhǜes, 5028 - Vila Pirituba, Sǜo Paulo - SP, 02938-000, Brasil;02938-000;Avenida Raimundo Pereira de Magalhǜes;5028;Sǜo Paulo;Sǜo Paulo;Brasil
-234.869.652;-4.672.570.109.999.990;Goldlyne Pirituba - Av. Raimundo Pereira de Magalhǜes, 5028 - Vila Pirituba, Sǜo Paulo - SP, 02938-000, Brasil;02938-000;Avenida Raimundo Pereira de Magalhǜes;5028;Sǜo Paulo;Sǜo Paulo;Brasil
-234.869.652;-4.672.570.109.999.990;Goldlyne Pirituba - Av. Raimundo Pereira de Magalhǜes, 5028 - Vila Pirituba, Sǜo Paulo - SP, 02938-000, Brasil;02938-000;Avenida Raimundo Pereira de Magalhǜes;5028;Sǜo Paulo;Sǜo Paulo;Brasil
-23.511.254;-46.431.008;Av. Nordestina, 3010 - Cidade Nova Sǜo Miguel, Sǜo Paulo - SP, 08032-000, Brasil;08032-000;Avenida Nordestina;3010;Sǜo Paulo;Sǜo Paulo;Brasil
-23.511.254;-46.431.008;Av. Nordestina, 3010 - Cidade Nova Sǜo Miguel, Sǜo Paulo - SP, 08032-000, Brasil;08032-000;Avenida Nordestina;3010;Sǜo Paulo;Sǜo Paulo;Brasil
-235.839.955;-467.349.677;R. Prof. Mǭximo Ribeiro Nunes, 681 - Jardim Peri Peri, Sǜo Paulo - SP, 05535-000, Brasil;05535-000;Rua Professor Mǭximo Ribeiro Nunes;681;Sǜo Paulo;Sǜo Paulo;Brasil
-23.511.254;-46.431.008;Av. Nordestina, 3010 - Cidade Nova Sǜo Miguel, Sǜo Paulo - SP, 08032-000, Brasil;08032-000;Avenida Nordestina;3010;Sǜo Paulo;Sǜo Paulo;Brasil
-235.839.955;-467.349.677;R. Prof. Mǭximo Ribeiro Nunes, 681 - Jardim Peri Peri, Sǜo Paulo - SP, 05535-000, Brasil;05535-000;Rua Professor Mǭximo Ribeiro Nunes;681;Sǜo Paulo;Sǜo Paulo;Brasil
